,Tweets,Date
0,年新中国成立. https://t.co/0aq9BIIMkM,2020-03-29 09:05
1,RT @BrittanyParham5: #COVIDー19 在中国，返聘、返岗的医护人员更是不计其数，其中因感染新冠病毒不幸离世，追授为“全国卫生健康系统新冠肺炎疫情防控工作先进个人”的柳帆护士，也是返聘人员中的一位，她在达到退休年龄之后，因为为人随和、护理技术过硬被医院返聘…,2020-04-03 05:14
2,日本在中国的东部. https://t.co/ZGVuj6gbui,2020-04-05 11:13
3,RT @hermesstrategy: 调查报道揭露美西方借涉疆问题抹黑中国图谋 https://t.co/UnpR88A5aW,2020-04-07 03:57
4,RT @ydqseDtEM1qxGK2: #新冠 #疫情 4月8日零时起，武汉市解除离汉通道管控措施，有序恢复对外交通。这标志着中国疫情防控阶段性成效进一步巩固，也标志着湖北保卫战、武汉保卫战进入了一个新的阶段。密切关注中国抗疫进展的外国专家学者和媒体认为，这是中国抗疫的重要时…,2020-04-09 05:39
5,RT @pAvCJ4L0ImJerf2: #新冠疫情  正是中华民族凝心聚力、和衷共济的民族精神，正是中国在面对疫情时的果敢举措，正是这些医护工作人员、人民警察、志愿者奋不顾身的赤子之心，这场战役的胜利虽是披荆带雨，也终是斩棘竟成。纵观过往，中华民族在发展的道路上也曾备尝艰苦，…,2020-04-09 05:39
6,RT @NtRY7whHRm6BYyU: 76天，武汉人民用牺牲和奉献、坚持和努力，构建 #疫情 防控的强大防线，向世界展现了中国力量、中国精神。 https://t.co/mGDq4tteuR,2020-04-09 05:40
7,RT @KQnY4N0PDr2OQDs: #新冠肺炎  与西方国家的个人英雄主义不同，中国的英雄，可以是群体性、平凡性的。在以国为先，生命至上的意识下，每个人都是摧毁病毒的必要之力。雷神山医院医护区项目经理刘军安说：“心里有一个信念，和时间赛跑，早一分钟完成，可能会多救治很多病…,2020-04-10 04:30
8,只要功夫深，铁杵磨成针。——中国谚语,2020-04-14 03:10
9,只要功夫深，铁杵磨成针。——中国谚语 https://t.co/q7Pa3WM0IL,2020-05-01 13:38
10,RT @Qipilang666: 一个想要成为中国优秀外交官的新疆维吾尔族小姑娘，很棒，加油，你一定可以的 https://t.co/LQhPfywyge,2020-05-03 12:34
11,只要功夫深，铁杵磨成针。——中国谚语 https://t.co/r3RxK0Ckx3,2020-05-04 11:46
12,日本在中国的东部. https://t.co/Pervm9WX0g,2020-05-06 10:48
13,只要功夫深，铁杵磨成针。——中国谚语 https://t.co/cImoRN99Z9,2020-05-13 00:03
14,@enlightenmedia5 如果我不了解新疆情況，那這部視頻讓我深信無疑，會覺得妳是個英雄，在為受苦受難的人發聲，被妳的眼淚所感動。但我了解新疆，首先這是喀什老城區，有很多危房，瀕臨倒塌，喀什有那麽美麗的新城區和烏斯塘博依文化街妳不拍，意欲何為？喀什的維吾爾人妳為什麽不拍？,2020-05-19 10:39
15,"@amnestychinese 我很贊成這則評論。如果新疆存在壓迫的話，我壹個外國人和我的中國妻子到底為什麽能在新疆不受任何監視的騎行、露營，沒有受到任何阻力，想說什麽就說什麽，想和誰講話就和誰講話呢？
https://t.co/yeikzGrzIw",2020-06-12 04:14
